locationID,continent,country,stateProvince,county,countryCode,locality,remarks,isCustomRegion
GI_318878,Europe,,,,,Ireland,,Yes
GI_318878,Europe,,,,,Ireland,,Yes
GI_318878,Europe,,,,,Ireland,,Yes
GI_318878,Europe,,,,,Ireland,,Yes
GI_319029,Europe,Spain,,,ES,Tenerife,,Yes
GI_319029,Europe,Spain,,,ES,Tenerife,,Yes
GI_319029,Europe,Spain,,,ES,Tenerife,,Yes
GI_319055,Europe,Spain,,,ES,Fuerteventura,,Yes
GI_319055,Europe,Spain,,,ES,Fuerteventura,,Yes
GI_319055,Europe,Spain,,,ES,Fuerteventura,,Yes
GI_319069,Europe,Spain,,,ES,Gran Canaria,,Yes
GI_319069,Europe,Spain,,,ES,Gran Canaria,,Yes
GI_319069,Europe,Spain,,,ES,Gran Canaria,,Yes
GI_319171,Europe,Spain,,,ES,Lanzarote,,Yes
GI_319171,Europe,Spain,,,ES,Lanzarote,,Yes
GI_319171,Europe,Spain,,,ES,Lanzarote,,Yes
GI_319196,Europe,Spain,,,ES,La Palma,,Yes
GI_319196,Europe,Spain,,,ES,La Palma,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319260,Europe,United Kingdom,,,GB,Great Britain,,Yes
GI_319413,Europe,Spain,,,ES,Gomera,,Yes
GI_319413,Europe,Spain,,,ES,Gomera,,Yes
GI_319479,Europe,Spain,,,ES,Hierro,,Yes
GI_319479,Europe,Spain,,,ES,Hierro,,Yes
GI_319479,Europe,Spain,,,ES,Hierro,,Yes
MOBI_1AR-B_AR,Americas,Argentina,Buenos Aires,,AR,Tandilia mountains,Mountain range in Buenos Aires province,Yes
MOBI_1BD_BT_IN_MV_NP_PK_LK,Asia,Bangladesh | Bhutan | India | Maldives | Nepal | Pakistan | Sri Lanka,,,BD | BT | IN | MV | NP | PK | LK,"Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan and Sri Lanka","Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan and Sri Lanka",Yes
MOBI_1BD_BT_IN_MV_NP_PK_LK,Asia,Bangladesh | Bhutan | India | Maldives | Nepal | Pakistan | Sri Lanka,,,BD | BT | IN | MV | NP | PK | LK,"Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan and Sri Lanka",,Yes
MOBI_1CA-NL_CAN,Americas,Canada,Newfoundland and Labrador,,CA,Labrador,Continental territory of Newfoundland and Labrador province in Canada,Yes
MOBI_1CA-NL_CAN,Americas,Canada,Labrador,,CA,,,Yes
