locationID,continent,country,stateProvince,county,countryCode,isCustomRegion,verbatimCountry,verbatimLocationID,verbatimISO3,countryCode.1
GEO_23515209B24107209170284,Europe,Andorra,Andorra la Vella,Andorra la Vella,AD,No,Andorra,{23515209B24107209170284},AND,AD
GEO_23515209B25074230340039,Europe,Andorra,Canillo,Canillo,AD,No,Andorra,{23515209B25074230340039},AND,AD
GEO_23515209B87138494217820,Europe,Andorra,Encamp,Encamp,AD,No,Andorra,{23515209B87138494217820},AND,AD
GEO_23515209B43580600008856,Europe,Andorra,Escaldes-Engordany,Escaldes-Engordany,AD,No,Andorra,{23515209B43580600008856},AND,AD
GEO_23515209B12259378502884,Europe,Andorra,La Massana,La Massana,AD,No,Andorra,{23515209B12259378502884},AND,AD
GEO_23515209B96881004874456,Europe,Andorra,Ordino,Ordino,AD,No,Andorra,{23515209B96881004874456},AND,AD
GEO_23515209B82836637605816,Europe,Andorra,Sant Julia de Loria,Sant Julia de Loria,AD,No,Andorra,{23515209B82836637605816},AND,AD
GEO_86790563B99975224300185,Asia,United Arab Emirates (the),Abu Dhabi,Abu Dhabi,AE,No,United Arab Emirates,{86790563B99975224300185},ARE,AE
GEO_86790563B34058819691262,Asia,United Arab Emirates (the),Dubai,Dubai,AE,No,United Arab Emirates,{86790563B34058819691262},ARE,AE
GEO_86790563B19626210530202,Asia,United Arab Emirates (the),Fujairah,Fujairah,AE,No,United Arab Emirates,{86790563B19626210530202},ARE,AE
GEO_86790563B13183784590468,Asia,United Arab Emirates (the),Ras al-Khaimah,Ras al-Khaimah,AE,No,United Arab Emirates,{86790563B13183784590468},ARE,AE
GEO_86790563B64154191217223,Asia,United Arab Emirates (the),Sharjah,Ajman,AE,No,United Arab Emirates,{86790563B64154191217223},ARE,AE
GEO_86790563B63760912918903,Asia,United Arab Emirates (the),Sharjah,Sharjah,AE,No,United Arab Emirates,{86790563B63760912918903},ARE,AE
GEO_86790563B60151525742092,Asia,United Arab Emirates (the),Umm al-Quwain,Umm al-Quwain,AE,No,United Arab Emirates,{86790563B60151525742092},ARE,AE
GEO_17698898B60025751668674,Asia,Afghanistan,Badakhshan,Arghanj Khaw,AF,No,Afghanistan,{17698898B60025751668674},AFG,AF
GEO_17698898B44605407424991,Asia,Afghanistan,Badakhshan,Argo,AF,No,Afghanistan,{17698898B44605407424991},AFG,AF
GEO_17698898B92283953739248,Asia,Afghanistan,Badakhshan,Baharak,AF,No,Afghanistan,{17698898B92283953739248},AFG,AF
GEO_17698898B6814893485448,Asia,Afghanistan,Badakhshan,Darayim,AF,No,Afghanistan,{17698898B6814893485448},AFG,AF
GEO_17698898B757957454065,Asia,Afghanistan,Badakhshan,Darwaz,AF,No,Afghanistan,{17698898B757957454065},AFG,AF
GEO_17698898B25739808204727,Asia,Afghanistan,Badakhshan,Darwazbala,AF,No,Afghanistan,{17698898B25739808204727},AFG,AF
GEO_17698898B13673571865374,Asia,Afghanistan,Badakhshan,Fayzabad,AF,No,Afghanistan,{17698898B13673571865374},AFG,AF
GEO_17698898B72396469505647,Asia,Afghanistan,Badakhshan,Ishkashiem,AF,No,Afghanistan,{17698898B72396469505647},AFG,AF
GEO_17698898B98024385511002,Asia,Afghanistan,Badakhshan,Jurm,AF,No,Afghanistan,{17698898B98024385511002},AFG,AF
GEO_17698898B8170759231465,Asia,Afghanistan,Badakhshan,Khash,AF,No,Afghanistan,{17698898B8170759231465},AFG,AF
GEO_17698898B28919940592911,Asia,Afghanistan,Badakhshan,Khwahan,AF,No,Afghanistan,{17698898B28919940592911},AFG,AF
GEO_17698898B32376525007973,Asia,Afghanistan,Badakhshan,Kishim,AF,No,Afghanistan,{17698898B32376525007973},AFG,AF
GEO_17698898B26989253690642,Asia,Afghanistan,Badakhshan,Kohistan,AF,No,Afghanistan,{17698898B26989253690642},AFG,AF
GEO_17698898B52906026797315,Asia,Afghanistan,Badakhshan,Kuf Ab,AF,No,Afghanistan,{17698898B52906026797315},AFG,AF
GEO_17698898B50007129326451,Asia,Afghanistan,Badakhshan,Kuran Wa Munjan,AF,No,Afghanistan,{17698898B50007129326451},AFG,AF
GEO_17698898B15363372694269,Asia,Afghanistan,Badakhshan,Raghistan,AF,No,Afghanistan,{17698898B15363372694269},AFG,AF
GEO_17698898B86453350447825,Asia,Afghanistan,Badakhshan,Shahada,AF,No,Afghanistan,{17698898B86453350447825},AFG,AF
