locationID,continent,country,stateProvince,countryCode,isCustomRegion,verbatimCountry
MOBI_adm1_1,Europe,Andorra,Andorra la Vella,AD,No,Andorra
MOBI_adm1_2,Europe,Andorra,Canillo,AD,No,Andorra
MOBI_adm1_3,Europe,Andorra,Encamp,AD,No,Andorra
MOBI_adm1_4,Europe,Andorra,Escaldes-Engordany,AD,No,Andorra
MOBI_adm1_5,Europe,Andorra,La Massana,AD,No,Andorra
MOBI_adm1_6,Europe,Andorra,Ordino,AD,No,Andorra
MOBI_adm1_7,Europe,Andorra,Sant Julia de Loria,AD,No,Andorra
MOBI_adm1_8,Asia,United Arab Emirates (the),Abu Dhabi,AE,No,United Arab Emirates
MOBI_adm1_9,Asia,United Arab Emirates (the),Dubai,AE,No,United Arab Emirates
MOBI_adm1_10,Asia,United Arab Emirates (the),Fujairah,AE,No,United Arab Emirates
MOBI_adm1_11,Asia,United Arab Emirates (the),Ras al-Khaimah,AE,No,United Arab Emirates
MOBI_adm1_12,Asia,United Arab Emirates (the),Sharjah,AE,No,United Arab Emirates
MOBI_adm1_13,Asia,United Arab Emirates (the),Umm al-Quwain,AE,No,United Arab Emirates
MOBI_adm1_14,Asia,Afghanistan,Badakhshan,AF,No,Afghanistan
MOBI_adm1_15,Asia,Afghanistan,Badghis,AF,No,Afghanistan
MOBI_adm1_16,Asia,Afghanistan,Baghlan,AF,No,Afghanistan
MOBI_adm1_17,Asia,Afghanistan,Balkh,AF,No,Afghanistan
MOBI_adm1_18,Asia,Afghanistan,Bamyan,AF,No,Afghanistan
MOBI_adm1_19,Asia,Afghanistan,Daykundi,AF,No,Afghanistan
MOBI_adm1_20,Asia,Afghanistan,Farah,AF,No,Afghanistan
MOBI_adm1_21,Asia,Afghanistan,Faryab,AF,No,Afghanistan
MOBI_adm1_22,Asia,Afghanistan,Ghanzi,AF,No,Afghanistan
MOBI_adm1_23,Asia,Afghanistan,Ghor,AF,No,Afghanistan
MOBI_adm1_24,Asia,Afghanistan,Helmand,AF,No,Afghanistan
MOBI_adm1_25,Asia,Afghanistan,Herat,AF,No,Afghanistan
MOBI_adm1_26,Asia,Afghanistan,Jowzjan,AF,No,Afghanistan
MOBI_adm1_27,Asia,Afghanistan,Kabul,AF,No,Afghanistan
MOBI_adm1_28,Asia,Afghanistan,Kandahar,AF,No,Afghanistan
MOBI_adm1_29,Asia,Afghanistan,Kapisa,AF,No,Afghanistan
MOBI_adm1_30,Asia,Afghanistan,Khost,AF,No,Afghanistan
MOBI_adm1_31,Asia,Afghanistan,Kunar,AF,No,Afghanistan
MOBI_adm1_32,Asia,Afghanistan,Kunduz,AF,No,Afghanistan
MOBI_adm1_33,Asia,Afghanistan,Laghman,AF,No,Afghanistan
MOBI_adm1_34,Asia,Afghanistan,Logar,AF,No,Afghanistan
MOBI_adm1_35,Asia,Afghanistan,Nangarhar,AF,No,Afghanistan
MOBI_adm1_36,Asia,Afghanistan,Nimruz,AF,No,Afghanistan
MOBI_adm1_37,Asia,Afghanistan,Nuristan,AF,No,Afghanistan
MOBI_adm1_38,Asia,Afghanistan,Paktia,AF,No,Afghanistan
MOBI_adm1_39,Asia,Afghanistan,Paktika,AF,No,Afghanistan
MOBI_adm1_40,Asia,Afghanistan,Panjshir,AF,No,Afghanistan
MOBI_adm1_41,Asia,Afghanistan,Parwan,AF,No,Afghanistan
MOBI_adm1_42,Asia,Afghanistan,Samangan,AF,No,Afghanistan
MOBI_adm1_43,Asia,Afghanistan,Sar-e Pol,AF,No,Afghanistan
MOBI_adm1_44,Asia,Afghanistan,Takhar,AF,No,Afghanistan
MOBI_adm1_45,Asia,Afghanistan,Uruzgan,AF,No,Afghanistan
MOBI_adm1_46,Asia,Afghanistan,Wardak,AF,No,Afghanistan
MOBI_adm1_47,Asia,Afghanistan,Zabul,AF,No,Afghanistan
MOBI_adm1_48,Americas,Antigua and Barbuda,Barbuda,AG,No,Antigua & Barbuda
MOBI_adm1_49,Americas,Antigua and Barbuda,Redonda,AG,No,Antigua & Barbuda
MOBI_adm1_50,Americas,Antigua and Barbuda,Saint George,AG,No,Antigua & Barbuda
MOBI_adm1_51,Americas,Antigua and Barbuda,Saint John,AG,No,Antigua & Barbuda
MOBI_adm1_52,Americas,Antigua and Barbuda,Saint Mary,AG,No,Antigua & Barbuda
MOBI_adm1_53,Americas,Antigua and Barbuda,Saint Paul,AG,No,Antigua & Barbuda
MOBI_adm1_54,Americas,Antigua and Barbuda,Saint Peter,AG,No,Antigua & Barbuda
MOBI_adm1_55,Americas,Antigua and Barbuda,Saint Philip,AG,No,Antigua & Barbuda
MOBI_adm1_56,Europe,Albania,Berat,AL,No,Albania
MOBI_adm1_57,Europe,Albania,Dibër,AL,No,Albania
MOBI_adm1_58,Europe,Albania,Durrës,AL,No,Albania
MOBI_adm1_59,Europe,Albania,Elbasan,AL,No,Albania
MOBI_adm1_60,Europe,Albania,Fier,AL,No,Albania
MOBI_adm1_61,Europe,Albania,Gjirokastër,AL,No,Albania
MOBI_adm1_62,Europe,Albania,Korçë,AL,No,Albania
